account_id,district_id,frequency,date
576,55,ONCE A MONTH,1993-01-01 00:00:00
3818,74,ONCE A MONTH,1993-01-01 00:00:00
704,55,ONCE A MONTH,1993-01-01 00:00:00
2378,16,ONCE A MONTH,1993-01-01 00:00:00
2632,24,ONCE A MONTH,1993-01-02 00:00:00
1972,77,ONCE A MONTH,1993-01-02 00:00:00
1539,1,AFTER DEAL,1993-01-03 00:00:00
793,47,ONCE A MONTH,1993-01-03 00:00:00
2484,74,ONCE A MONTH,1993-01-03 00:00:00
1695,76,ONCE A MONTH,1993-01-03 00:00:00
1726,48,ONCE A MONTH,1993-01-03 00:00:00
2881,70,ONCE A MONTH,1993-01-04 00:00:00
2357,19,ONCE A MONTH,1993-01-04 00:00:00
2177,62,ONCE A MONTH,1993-01-04 00:00:00
485,6,AFTER DEAL,1993-01-04 00:00:00
652,21,ONCE A MONTH,1993-01-05 00:00:00
9635,70,ONCE A MONTH,1993-01-05 00:00:00
1844,44,ONCE A MONTH,1993-01-06 00:00:00
1926,37,ONCE A MONTH,1993-01-06 00:00:00
2393,10,ONCE A MONTH,1993-01-07 00:00:00
3510,41,ONCE A MONTH,1993-01-07 00:00:00
1276,36,ONCE A MONTH,1993-01-07 00:00:00
1637,1,ONCE A MONTH,1993-01-08 00:00:00
3871,26,ONCE A MONTH,1993-01-08 00:00:00
192,55,ONCE A MONTH,1993-01-08 00:00:00
764,1,ONCE A MONTH,1993-01-08 00:00:00
2087,7,ONCE A WEEK,1993-01-08 00:00:00
2122,68,ONCE A MONTH,1993-01-08 00:00:00
3592,54,ONCE A MONTH,1993-01-08 00:00:00
3487,41,ONCE A MONTH,1993-01-08 00:00:00
435,38,ONCE A MONTH,1993-01-08 00:00:00
1730,1,ONCE A MONTH,1993-01-09 00:00:00
1493,41,ONCE A MONTH,1993-01-09 00:00:00
374,38,ONCE A MONTH,1993-01-09 00:00:00
2925,1,ONCE A MONTH,1993-01-10 00:00:00
866,9,ONCE A MONTH,1993-01-10 00:00:00
1628,60,ONCE A MONTH,1993-01-10 00:00:00
2379,44,ONCE A MONTH,1993-01-10 00:00:00
1979,26,ONCE A MONTH,1993-01-11 00:00:00
346,37,ONCE A MONTH,1993-01-11 00:00:00
1338,74,ONCE A MONTH,1993-01-11 00:00:00
1909,14,ONCE A MONTH,1993-01-12 00:00:00
2099,3,ONCE A WEEK,1993-01-12 00:00:00
3760,44,ONCE A MONTH,1993-01-13 00:00:00
5270,44,ONCE A MONTH,1993-01-13 00:00:00
1699,53,ONCE A MONTH,1993-01-14 00:00:00
3909,1,ONCE A MONTH,1993-01-14 00:00:00
2926,50,ONCE A MONTH,1993-01-14 00:00:00
1731,33,ONCE A MONTH,1993-01-14 00:00:00
11265,15,ONCE A MONTH,1993-01-14 00:00:00
2519,4,ONCE A MONTH,1993-01-15 00:00:00
10364,55,ONCE A MONTH,1993-01-17 00:00:00
1481,15,ONCE A MONTH,1993-01-17 00:00:00
401,32,ONCE A MONTH,1993-01-18 00:00:00
4034,1,ONCE A MONTH,1993-01-18 00:00:00
2330,54,ONCE A MONTH,1993-01-19 00:00:00
1806,40,ONCE A MONTH,1993-01-19 00:00:00
3834,54,ONCE A MONTH,1993-01-19 00:00:00
1222,66,ONCE A MONTH,1993-01-20 00:00:00
212,27,ONCE A WEEK,1993-01-20 00:00:00
456,49,ONCE A MONTH,1993-01-21 00:00:00
459,47,ONCE A MONTH,1993-01-21 00:00:00
772,45,ONCE A MONTH,1993-01-21 00:00:00
1019,52,ONCE A MONTH,1993-01-21 00:00:00
