card_id,disp_id,type,issued
1005,9285,CLASSIC,1993-11-07 00:00:00
104,588,CLASSIC,1994-01-19 00:00:00
747,4915,CLASSIC,1994-02-05 00:00:00
70,439,CLASSIC,1994-02-08 00:00:00
577,3687,CLASSIC,1994-02-15 00:00:00
377,2429,CLASSIC,1994-03-03 00:00:00
721,4680,JUNIOR,1994-04-05 00:00:00
437,2762,CLASSIC,1994-06-01 00:00:00
188,1146,CLASSIC,1994-06-19 00:00:00
13,87,CLASSIC,1994-06-29 00:00:00
732,4763,CLASSIC,1994-07-21 00:00:00
181,1066,CLASSIC,1994-08-19 00:00:00
384,2475,JUNIOR,1994-09-15 00:00:00
309,1946,CLASSIC,1994-09-19 00:00:00
478,3084,CLASSIC,1994-10-09 00:00:00
563,3589,CLASSIC,1994-10-21 00:00:00
369,2363,CLASSIC,1994-11-08 00:00:00
376,2428,CLASSIC,1994-11-10 00:00:00
483,3115,CLASSIC,1994-11-24 00:00:00
174,1039,JUNIOR,1994-12-04 00:00:00
658,4251,CLASSIC,1994-12-25 00:00:00
763,5138,JUNIOR,1994-12-30 00:00:00
778,5275,CLASSIC,1995-01-02 00:00:00
1039,9837,CLASSIC,1995-01-07 00:00:00
477,3082,JUNIOR,1995-01-16 00:00:00
168,1018,CLASSIC,1995-01-24 00:00:00
314,1999,JUNIOR,1995-01-27 00:00:00
468,3023,CLASSIC,1995-01-30 00:00:00
208,1246,GOLD,1995-02-08 00:00:00
766,5200,CLASSIC,1995-02-11 00:00:00
464,2984,CLASSIC,1995-02-21 00:00:00
497,3184,CLASSIC,1995-03-03 00:00:00
166,999,CLASSIC,1995-03-05 00:00:00
15,114,CLASSIC,1995-03-05 00:00:00
503,3225,CLASSIC,1995-03-08 00:00:00
1038,9787,JUNIOR,1995-03-30 00:00:00
737,4791,CLASSIC,1995-04-13 00:00:00
418,2623,CLASSIC,1995-04-14 00:00:00
759,5117,JUNIOR,1995-04-18 00:00:00
223,1353,CLASSIC,1995-04-18 00:00:00
5,51,JUNIOR,1995-04-24 00:00:00
159,946,CLASSIC,1995-05-01 00:00:00
1223,13231,JUNIOR,1995-05-02 00:00:00
662,4293,CLASSIC,1995-05-09 00:00:00
779,5323,JUNIOR,1995-05-21 00:00:00
