client_id,birth_number,district_id,gender,age,ageType
1,1970-12-13,18,0,30,3
2,1945-03-29,1,1,55,5
3,1940-11-09,1,0,60,6
4,1957-01-01,5,1,43,4
5,1960-08-03,5,0,40,4
6,1919-10-22,12,1,81,6
7,1929-02-25,15,1,71,6
8,1938-03-21,51,0,62,6
9,1935-11-16,60,1,65,6
10,1943-06-01,57,1,57,5
11,1950-09-22,57,0,50,5
12,1981-03-20,40,1,19,1
13,1974-06-29,54,0,26,2
14,1942-07-22,76,0,58,5
15,1918-09-28,21,0,82,6
16,1919-03-25,21,1,81,6
17,1934-11-13,76,1,66,6
18,1931-05-05,76,0,69,6
19,1943-01-28,47,1,57,5
20,1979-02-04,46,1,21,2
21,1952-11-29,12,0,48,4
22,1969-11-11,1,0,31,3
23,1973-06-29,1,1,27,2
24,1939-08-29,43,0,61,6
25,1939-05-23,21,0,61,6
26,1969-05-20,74,0,31,3
27,1966-04-26,54,0,34,3
28,1945-10-29,1,1,55,5
29,1951-10-11,30,0,49,4
30,1957-11-09,74,0,43,4
31,1962-03-09,68,1,38,3
32,1980-08-28,52,1,20,2
33,1949-01-04,73,0,51,5
36,1978-08-17,7,0,22,2
37,1970-09-10,7,1,30,3
38,1973-08-23,36,0,27,2
39,1968-02-25,68,1,32,3
40,1957-02-22,5,0,43,4
41,1968-09-27,22,1,32,3
42,1935-09-17,68,1,65,6
43,1920-11-28,75,1,80,6
44,1977-02-11,38,0,23,2
45,1952-09-26,20,1,48,4
46,1940-03-01,19,0,60,6
47,1934-08-14,76,1,66,6
48,1940-03-09,16,1,60,6
49,1959-06-11,72,0,41,4
50,1978-08-30,39,0,22,2
51,1980-01-02,36,0,20,2
52,1925-01-12,32,1,75,6
53,1977-06-05,64,1,23,2
55,1948-10-18,45,0,52,5
56,1960-05-01,21,1,40,4
57,1962-01-17,21,0,38,3
58,1927-05-29,1,0,73,6
59,1957-03-18,1,1,43,4
60,1980-03-19,67,1,20,2
61,1948-09-06,16,0,52,5
62,1933-01-08,77,1,67,6
63,1959-07-04,4,1,41,4
64,1926-05-22,20,1,74,6
65,1943-06-27,50,0,57,5
66,1951-12-10,1,0,49,4
67,1932-12-11,29,0,68,6
68,1947-01-14,43,1,53,5
70,1926-01-22,70,1,74,6
71,1927-03-06,70,0,73,6
72,1923-02-13,47,1,77,6
73,1924-03-20,22,1,76,6
74,1925-08-26,22,0,75,6
75,1977-10-19,64,0,23,2
76,1967-11-01,36,0,33,3
77,1956-03-18,1,0,44,4
78,1944-07-13,16,0,56,5
79,1969-04-10,37,0,31,3
80,1979-03-25,64,0,21,2
81,1976-05-29,8,1,24,2
82,1980-01-25,8,0,20,2
83,1979-01-25,1,0,21,2
84,1979-06-05,1,1,21,2
85,1961-09-27,1,1,39,3
86,1969-08-20,1,0,31,3
87,1946-12-17,72,0,54,5
89,1951-06-05,1,0,49,4
90,1975-09-17,52,1,25,2
91,1940-09-07,63,1,60,6
92,1966-07-12,74,0,34,3
93,1925-03-16,3,1,75,6
94,1947-10-09,43,1,53,5
95,1952-09-03,43,0,48,4
96,1972-03-29,74,1,28,2
97,1965-12-28,26,1,35,3
98,1973-06-04,33,0,27,2
99,1973-02-26,33,1,27,2
100,1942-09-11,44,0,58,5
101,1943-02-23,68,1,57,5
102,1958-10-10,74,0,42,4
103,1955-08-11,74,1,45,4
105,1980-06-26,31,1,20,2
106,1969-01-30,68,0,31,3
107,1972-07-23,1,1,28,2
108,1963-10-13,17,1,37,3
110,1967-05-13,2,0,33,3
112,1935-02-25,1,1,65,6
113,1940-09-15,1,0,60,6
114,1969-07-24,74,0,31,3
115,1970-01-24,74,1,30,3
116,1942-02-28,74,1,58,5
117,1936-10-20,74,0,64,6
118,1922-08-19,55,1,78,6
119,1922-03-28,55,0,78,6
120,1976-06-10,1,1,24,2
121,1978-11-29,41,0,22,2
122,1963-12-13,35,0,37,3
123,1969-03-12,11,1,31,3
124,1967-10-21,44,1,33,3
125,1936-12-01,37,1,64,6
126,1929-10-27,37,0,71,6
127,1951-01-27,21,0,49,4
128,1973-05-04,63,0,27,2
129,1947-07-01,64,0,53,5
130,1942-03-14,53,1,58,5
131,1977-03-03,53,0,23,2
132,1953-02-26,36,1,47,4
134,1932-02-18,6,1,68,6
135,1938-10-10,6,0,62,6
136,1921-02-26,55,0,79,6
137,1923-10-14,60,1,77,6
138,1972-11-21,54,0,28,2
139,1959-08-25,8,0,41,4
140,1961-07-06,8,1,39,3
141,1925-12-02,31,1,75,6
142,1937-07-21,68,1,63,6
143,1978-08-09,27,1,22,2
144,1959-01-06,65,1,41,4
145,1978-03-14,55,1,22,2
