loan_id,account_id,date,amount,duration,payments,status,payduration
5314,1787,1993-07-05 00:00:00,96396,1,8033,B,9
5316,1801,1993-07-11 00:00:00,165960,3,4610,A,13
6863,9188,1993-07-28 00:00:00,127080,5,2118,A,22
5325,1843,1993-08-03 00:00:00,105804,3,2939,A,13
7240,11013,1993-09-06 00:00:00,274740,5,4579,A,22
6687,8261,1993-09-13 00:00:00,87840,2,3660,A,8
7284,11265,1993-09-15 00:00:00,52788,1,4399,A,4
6111,5428,1993-09-24 00:00:00,174744,2,7281,B,17
7235,10973,1993-10-13 00:00:00,154416,4,3217,A,35
7121,10364,1993-11-10 00:00:00,21924,3,609,A,26
6077,5270,1993-11-22 00:00:00,79608,2,3317,A,17
6228,6034,1993-12-01 00:00:00,464520,5,7742,B,43
6356,6701,1993-12-08 00:00:00,95400,3,2650,A,26
5523,2705,1993-12-08 00:00:00,93888,3,2608,A,26
6456,7123,1993-12-09 00:00:00,47016,1,3918,A,8
7104,10320,1993-12-13 00:00:00,259740,5,4329,A,43
6820,9034,1993-12-16 00:00:00,38148,1,3179,A,8
6876,9236,1993-12-21 00:00:00,86616,1,7218,A,8
7097,10266,1993-12-23 00:00:00,75624,2,3151,B,2
4959,2,1994-01-05 00:00:00,80952,2,3373,A,2
6499,7401,1994-01-05 00:00:00,80952,2,3373,A,2
5479,2486,1994-01-10 00:00:00,24516,1,2043,A,1
5170,1071,1994-01-20 00:00:00,253200,5,4220,C,5
6721,8475,1994-01-21 00:00:00,21072,2,878,A,2
7259,11111,1994-01-31 00:00:00,108144,3,3004,A,3
5285,1603,1994-02-06 00:00:00,78936,1,6578,A,1
5189,1166,1994-02-07 00:00:00,149040,4,3105,A,4
6650,8073,1994-02-17 00:00:00,49320,1,4110,B,1
7226,10940,1994-02-23 00:00:00,197748,3,5493,A,3
6087,5313,1994-02-27 00:00:00,300660,5,5011,C,5
7262,11135,1994-03-01 00:00:00,182628,3,5073,A,3
5519,2694,1994-03-08 00:00:00,91632,1,7636,A,1
6577,7753,1994-03-11 00:00:00,51696,2,2154,A,22
6509,7445,1994-03-15 00:00:00,55368,2,2307,A,22
6520,7485,1994-03-16 00:00:00,91200,2,3800,A,22
6699,8330,1994-03-30 00:00:00,7656,2,319,A,22
6336,6555,1994-03-31 00:00:00,212400,3,5900,A,33
7055,10079,1994-04-06 00:00:00,167100,5,2785,C,55
6103,5385,1994-04-07 00:00:00,149340,5,2489,C,55
6202,5891,1994-04-18 00:00:00,65184,1,5432,A,11
7066,10131,1994-05-02 00:00:00,215388,3,5983,B,33
6696,8321,1994-05-09 00:00:00,89040,5,1484,C,55
6072,5256,1994-05-10 00:00:00,193968,3,5388,A,33
5130,813,1994-05-11 00:00:00,24312,1,2026,A,11
5568,2933,1994-05-17 00:00:00,272520,5,4542,C,17
6678,8173,1994-05-20 00:00:00,80340,1,6695,A,3
6998,9833,1994-05-21 00:00:00,97632,1,8136,A,3
6580,7769,1994-05-22 00:00:00,196080,4,4085,A,13
6316,6473,1994-05-26 00:00:00,76908,1,6409,B,3
6512,7454,1994-05-26 00:00:00,63312,4,1319,A,13
6407,6930,1994-05-26 00:00:00,25944,2,1081,A,6
5002,173,1994-05-31 00:00:00,104808,1,8734,A,3
6647,8051,1994-06-01 00:00:00,208320,4,4340,A,13
7137,10439,1994-06-03 00:00:00,151560,2,6315,A,6
6903,9337,1994-06-04 00:00:00,52128,2,2172,A,6
5918,4576,1994-06-04 00:00:00,300204,3,8339,A,10
6642,8027,1994-06-05 00:00:00,77640,1,6470,A,3
6210,5927,1994-06-06 00:00:00,87216,4,1817,B,5
6279,6273,1994-06-07 00:00:00,87360,2,3640,A,2
7249,11065,1994-06-12 00:00:00,69360,4,1445,A,5
6736,8558,1994-06-14 00:00:00,288360,5,4806,C,7
6112,5442,1994-06-17 00:00:00,174744,2,7281,B,2
5319,1811,1994-06-23 00:00:00,239460,5,3991,C,7
6596,7844,1994-06-25 00:00:00,91584,2,3816,A,2
5837,4260,1994-06-29 00:00:00,244560,5,4076,C,7
5657,3354,1994-07-05 00:00:00,4980,1,415,A,1
5533,2762,1994-07-05 00:00:00,111384,2,4641,A,2
6232,6051,1994-07-08 00:00:00,276660,3,7685,B,4
6888,9265,1994-07-11 00:00:00,39576,1,3298,A,1
6066,5228,1994-07-11 00:00:00,173808,2,7242,A,9
5549,2824,1994-07-16 00:00:00,50460,5,841,C,23
5060,426,1994-07-19 00:00:00,252060,5,4201,D,13
6004,4937,1994-07-23 00:00:00,143904,2,5996,A,5
5126,790,1994-07-24 00:00:00,208128,4,4336,B,11
7220,10911,1994-07-28 00:00:00,131292,3,3647,A,8
6668,8129,1994-07-30 00:00:00,74736,3,2076,A,8
5395,2176,1994-07-30 00:00:00,299088,3,8308,B,8
6836,9093,1994-08-03 00:00:00,189300,5,3155,C,13
6064,5215,1994-08-04 00:00:00,14628,1,1219,A,2
6919,9403,1994-08-05 00:00:00,120888,3,3358,A,8
6841,9104,1994-08-07 00:00:00,172080,4,3585,A,11
6038,5120,1994-08-10 00:00:00,323472,4,6739,A,11
6729,8519,1994-08-11 00:00:00,74688,1,6224,A,7
7198,10788,1994-08-23 00:00:00,45768,1,3814,A,5
6686,8260,1994-08-25 00:00:00,224604,3,6239,A,15
5836,4259,1994-08-27 00:00:00,79632,2,3318,A,10
7061,10105,1994-08-27 00:00:00,121896,2,5079,A,10
5595,3050,1994-09-02 00:00:00,82896,1,6908,A,5
5723,3674,1994-09-10 00:00:00,23628,1,1969,A,5
6120,5481,1994-09-11 00:00:00,209184,4,4358,A,37
6895,9307,1994-09-19 00:00:00,41904,1,3492,A,9
5882,4427,1994-09-26 00:00:00,87816,1,7318,A,9
5754,3834,1994-09-28 00:00:00,23052,1,1921,A,9
6594,7824,1994-09-28 00:00:00,189696,2,7904,B,18
6738,8566,1994-09-29 00:00:00,230220,3,6395,B,28
6624,7965,1994-09-30 00:00:00,71460,1,5955,A,9
6216,5952,1994-09-30 00:00:00,141240,2,5885,A,18
6229,6040,1994-10-02 00:00:00,11736,2,489,A,18
5887,4448,1994-10-03 00:00:00,192744,3,5354,A,28
6808,8982,1994-10-12 00:00:00,227880,3,6330,A,28
6297,6363,1994-10-25 00:00:00,17508,1,1459,A,9
5161,1012,1994-10-28 00:00:00,98184,2,4091,A,3
5390,2167,1994-10-30 00:00:00,170256,2,7094,A,3
6150,5622,1994-11-02 00:00:00,83016,1,6918,A,1
6223,5991,1994-11-03 00:00:00,61056,4,1272,A,6
5032,290,1994-11-03 00:00:00,123696,4,2577,A,6
6253,6148,1994-11-04 00:00:00,59760,2,2490,A,3
6460,7133,1994-11-06 00:00:00,48672,3,1352,A,5
6645,8041,1994-11-06 00:00:00,140400,3,3900,A,5
5176,1106,1994-11-12 00:00:00,192552,2,8023,B,3
5269,1527,1994-11-19 00:00:00,164052,3,4557,B,5
5351,1978,1994-12-04 00:00:00,205200,3,5700,A,5
5861,4337,1994-12-08 00:00:00,51408,2,2142,A,23
5450,2345,1994-12-11 00:00:00,199680,5,3328,C,58
7142,10451,1994-12-19 00:00:00,482940,5,8049,D,58
6306,6425,1994-12-20 00:00:00,36684,1,3057,A,11
6272,6226,1994-12-20 00:00:00,398640,5,6644,C,58
5044,344,1994-12-21 00:00:00,100980,5,1683,C,58
5576,2962,1994-12-21 00:00:00,31248,1,2604,A,11
7192,10738,1994-12-21 00:00:00,115992,3,3222,A,35
5739,3747,1995-01-02 00:00:00,76380,1,6365,A,11
6526,7523,1995-01-03 00:00:00,288468,3,8013,A,35
5624,3166,1995-01-03 00:00:00,177744,4,3703,D,46
6244,6118,1995-01-08 00:00:00,270648,3,7518,B,35
5131,816,1995-01-08 00:00:00,48624,2,2026,A,23
6960,9640,1995-01-11 00:00:00,76416,2,3184,A,23
6358,6715,1995-01-14 00:00:00,137880,5,2298,D,20
5418,2245,1995-01-16 00:00:00,347952,4,7249,C,16
6598,7857,1995-01-18 00:00:00,68112,1,5676,A,4
5464,2419,1995-01-30 00:00:00,95808,1,7984,A,4
6591,7819,1995-02-02 00:00:00,20832,4,434,C,16
5724,3678,1995-02-05 00:00:00,316140,5,5269,D,20
6315,6472,1995-02-06 00:00:00,43164,1,3597,A,4
5876,4413,1995-02-08 00:00:00,221280,4,4610,C,16
6986,9750,1995-02-11 00:00:00,151728,4,3161,D,16
6294,6353,1995-02-12 00:00:00,79920,5,1332,C,20
5132,817,1995-02-17 00:00:00,538500,5,8975,C,20
5877,4414,1995-02-23 00:00:00,97224,2,4051,A,8
6227,6030,1995-03-04 00:00:00,28248,2,1177,A,16
6737,8564,1995-03-11 00:00:00,76680,2,3195,A,16
7004,9869,1995-03-15 00:00:00,331560,5,5526,C,41
6169,5700,1995-03-16 00:00:00,103680,5,1728,D,41
5208,1247,1995-03-16 00:00:00,99696,4,2077,D,33
6694,8316,1995-03-19 00:00:00,134784,2,5616,A,16
