account_id,district_id,frequency,date
576,55,POPLATEK MESICNE,1993/1/1 0:00
3818,74,POPLATEK MESICNE,1993/1/1 0:00
704,55,POPLATEK MESICNE,1993/1/1 0:00
2378,16,POPLATEK MESICNE,1993/1/1 0:00
2632,24,POPLATEK MESICNE,1993/1/2 0:00
1972,77,POPLATEK MESICNE,1993/1/2 0:00
1539,1,POPLATEK PO OBRATU,1993/1/3 0:00
793,47,POPLATEK MESICNE,1993/1/3 0:00
2484,74,POPLATEK MESICNE,1993/1/3 0:00
1695,76,POPLATEK MESICNE,1993/1/3 0:00
1726,48,POPLATEK MESICNE,1993/1/3 0:00
2881,70,POPLATEK MESICNE,1993/1/4 0:00
2357,19,POPLATEK MESICNE,1993/1/4 0:00
2177,62,POPLATEK MESICNE,1993/1/4 0:00
485,6,POPLATEK PO OBRATU,1993/1/4 0:00
652,21,POPLATEK MESICNE,1993/1/5 0:00
9635,70,POPLATEK MESICNE,1993/1/5 0:00
1844,44,POPLATEK MESICNE,1993/1/6 0:00
1926,37,POPLATEK MESICNE,1993/1/6 0:00
2393,10,POPLATEK MESICNE,1993/1/7 0:00
3510,41,POPLATEK MESICNE,1993/1/7 0:00
1276,36,POPLATEK MESICNE,1993/1/7 0:00
1637,1,POPLATEK MESICNE,1993/1/8 0:00
3871,26,POPLATEK MESICNE,1993/1/8 0:00
192,55,POPLATEK MESICNE,1993/1/8 0:00
764,1,POPLATEK MESICNE,1993/1/8 0:00
2087,7,POPLATEK TYDNE,1993/1/8 0:00
2122,68,POPLATEK MESICNE,1993/1/8 0:00
3592,54,POPLATEK MESICNE,1993/1/8 0:00
3487,41,POPLATEK MESICNE,1993/1/8 0:00
435,38,POPLATEK MESICNE,1993/1/8 0:00
1730,1,POPLATEK MESICNE,1993/1/9 0:00
1493,41,POPLATEK MESICNE,1993/1/9 0:00
374,38,POPLATEK MESICNE,1993/1/9 0:00
2925,1,POPLATEK MESICNE,1993/1/10 0:00
866,9,POPLATEK MESICNE,1993/1/10 0:00
1628,60,POPLATEK MESICNE,1993/1/10 0:00
2379,44,POPLATEK MESICNE,1993/1/10 0:00
1979,26,POPLATEK MESICNE,1993/1/11 0:00
346,37,POPLATEK MESICNE,1993/1/11 0:00
1338,74,POPLATEK MESICNE,1993/1/11 0:00
1909,14,POPLATEK MESICNE,1993/1/12 0:00
2099,3,POPLATEK TYDNE,1993/1/12 0:00
3760,44,POPLATEK MESICNE,1993/1/13 0:00
5270,44,POPLATEK MESICNE,1993/1/13 0:00
1699,53,POPLATEK MESICNE,1993/1/14 0:00
3909,1,POPLATEK MESICNE,1993/1/14 0:00
2926,50,POPLATEK MESICNE,1993/1/14 0:00
1731,33,POPLATEK MESICNE,1993/1/14 0:00
11265,15,POPLATEK MESICNE,1993/1/14 0:00
2519,4,POPLATEK MESICNE,1993/1/15 0:00
10364,55,POPLATEK MESICNE,1993/1/17 0:00
1481,15,POPLATEK MESICNE,1993/1/17 0:00
401,32,POPLATEK MESICNE,1993/1/18 0:00
4034,1,POPLATEK MESICNE,1993/1/18 0:00
2330,54,POPLATEK MESICNE,1993/1/19 0:00
1806,40,POPLATEK MESICNE,1993/1/19 0:00
