card_id,disp_id,type,issued
1005,9285,classic,1993/11/7 0:00
104,588,classic,1994/1/19 0:00
747,4915,classic,1994/2/5 0:00
70,439,classic,1994/2/8 0:00
577,3687,classic,1994/2/15 0:00
377,2429,classic,1994/3/3 0:00
721,4680,junior,1994/4/5 0:00
437,2762,classic,1994/6/1 0:00
188,1146,classic,1994/6/19 0:00
13,87,classic,1994/6/29 0:00
732,4763,classic,1994/7/21 0:00
181,1066,classic,1994/8/19 0:00
384,2475,junior,1994/9/15 0:00
309,1946,classic,1994/9/19 0:00
478,3084,classic,1994/10/9 0:00
563,3589,classic,1994/10/21 0:00
369,2363,classic,1994/11/8 0:00
376,2428,classic,1994/11/10 0:00
483,3115,classic,1994/11/24 0:00
174,1039,junior,1994/12/4 0:00
658,4251,classic,1994/12/25 0:00
763,5138,junior,1994/12/30 0:00
778,5275,classic,1995/1/2 0:00
1039,9837,classic,1995/1/7 0:00
477,3082,junior,1995/1/16 0:00
168,1018,classic,1995/1/24 0:00
314,1999,junior,1995/1/27 0:00
468,3023,classic,1995/1/30 0:00
208,1246,gold,1995/2/8 0:00
766,5200,classic,1995/2/11 0:00
464,2984,classic,1995/2/21 0:00
497,3184,classic,1995/3/3 0:00
166,999,classic,1995/3/5 0:00
15,114,classic,1995/3/5 0:00
503,3225,classic,1995/3/8 0:00
1038,9787,junior,1995/3/30 0:00
737,4791,classic,1995/4/13 0:00
418,2623,classic,1995/4/14 0:00
759,5117,junior,1995/4/18 0:00
223,1353,classic,1995/4/18 0:00
5,51,junior,1995/4/24 0:00
159,946,classic,1995/5/1 0:00
1223,13231,junior,1995/5/2 0:00
662,4293,classic,1995/5/9 0:00
779,5323,junior,1995/5/21 0:00
1040,9890,junior,1995/5/28 0:00
545,3458,classic,1995/5/30 0:00
467,3019,classic,1995/6/5 0:00
1247,13660,classic,1995/6/13 0:00
652,4211,classic,1995/6/16 0:00
559,3573,classic,1995/6/17 0:00
719,4663,classic,1995/6/24 0:00
397,2513,classic,1995/6/24 0:00
107,593,classic,1995/6/27 0:00
661,4270,classic,1995/7/3 0:00
484,3116,classic,1995/7/4 0:00
501,3197,classic,1995/7/9 0:00
422,2650,junior,1995/7/11 0:00
705,4555,classic,1995/7/12 0:00
410,2569,classic,1995/7/20 0:00
136,778,classic,1995/7/28 0:00
592,3782,junior,1995/8/7 0:00
262,1647,junior,1995/8/24 0:00
18,128,classic,1995/8/25 0:00
3,41,gold,1995/9/3 0:00
98,537,classic,1995/9/6 0:00
167,1011,classic,1995/9/15 0:00
97,531,junior,1995/9/19 0:00
699,4532,classic,1995/9/26 0:00
342,2157,classic,1995/9/27 0:00
713,4627,classic,1995/9/30 0:00
118,652,classic,1995/10/22 0:00
783,5433,junior,1995/10/24 0:00
1103,11189,classic,1995/11/4 0:00
504,3230,junior,1995/11/6 0:00
261,1629,gold,1995/11/9 0:00
296,1876,gold,1995/11/13 0:00
113,629,junior,1995/11/16 0:00
92,508,classic,1995/11/20 0:00
1225,13268,classic,1995/11/22 0:00
393,2498,junior,1995/12/3 0:00
695,4507,classic,1995/12/15 0:00
666,4328,junior,1995/12/25 0:00
462,2978,classic,1995/12/30 0:00
85,489,classic,1995/12/31 0:00
337,2141,classic,1996/1/1 0:00
771,5233,classic,1996/1/8 0:00
379,2431,classic,1996/1/12 0:00
106,592,classic,1996/1/14 0:00
606,3883,classic,1996/1/22 0:00
427,2688,gold,1996/1/25 0:00
202,1228,classic,1996/2/4 0:00
814,5911,classic,1996/2/15 0:00
1064,10328,classic,1996/2/17 0:00
14,112,classic,1996/2/17 0:00
423,2657,classic,1996/2/19 0:00
989,9119,classic,1996/2/21 0:00
364,2329,classic,1996/2/29 0:00
267,1691,junior,1996/3/9 0:00
621,3970,junior,1996/3/19 0:00
1139,11836,junior,1996/3/26 0:00
725,4715,junior,1996/3/30 0:00
150,859,classic,1996/3/30 0:00
302,1900,classic,1996/3/31 0:00
372,2395,classic,1996/3/31 0:00
499,3187,classic,1996/4/3 0:00
229,1384,classic,1996/4/5 0:00
289,1831,junior,1996/4/8 0:00
1100,11101,junior,1996/4/10 0:00
37,238,classic,1996/4/20 0:00
286,1812,gold,1996/4/21 0:00
157,907,classic,1996/4/24 0:00
216,1310,junior,1996/4/24 0:00
977,8968,classic,1996/5/8 0:00
183,1080,classic,1996/5/8 0:00
945,8342,junior,1996/5/9 0:00
44,268,junior,1996/5/17 0:00
600,3829,classic,1996/5/20 0:00
127,714,classic,1996/5/23 0:00
764,5159,classic,1996/5/29 0:00
204,1239,junior,1996/5/30 0:00
1134,11742,classic,1996/5/31 0:00
312,1971,classic,1996/6/8 0:00
313,1980,classic,1996/6/17 0:00
641,4116,classic,1996/6/18 0:00
731,4751,classic,1996/6/23 0:00
84,487,classic,1996/6/26 0:00
265,1680,classic,1996/6/28 0:00
1176,12502,gold,1996/7/3 0:00
1233,13382,classic,1996/7/6 0:00
407,2555,classic,1996/7/11 0:00
320,2045,classic,1996/7/11 0:00
1187,12635,gold,1996/7/17 0:00
121,666,junior,1996/7/22 0:00
1055,10171,classic,1996/7/24 0:00
303,1912,classic,1996/8/1 0:00
651,4201,junior,1996/8/2 0:00
736,4789,classic,1996/8/3 0:00
24,153,junior,1996/8/5 0:00
587,3763,junior,1996/8/5 0:00
119,655,classic,1996/8/8 0:00
670,4343,classic,1996/8/8 0:00
227,1380,classic,1996/8/10 0:00
1164,12269,classic,1996/8/12 0:00
1043,9974,junior,1996/8/14 0:00
278,1779,classic,1996/8/15 0:00
103,584,junior,1996/8/17 0:00
673,4353,junior,1996/8/31 0:00
38,242,classic,1996/8/31 0:00
470,3036,classic,1996/9/2 0:00
890,7422,classic,1996/9/8 0:00
514,3267,classic,1996/9/10 0:00
741,4832,classic,1996/9/11 0:00
882,7195,classic,1996/9/11 0:00
12,83,junior,1996/9/11 0:00
152,876,classic,1996/9/16 0:00
163,984,classic,1996/9/18 0:00
708,4568,junior,1996/9/24 0:00
1087,10887,classic,1996/10/6 0:00
854,6753,classic,1996/10/7 0:00
601,3830,classic,1996/10/8 0:00
99,548,gold,1996/10/9 0:00
547,3477,classic,1996/10/11 0:00
40,255,classic,1996/10/13 0:00
220,1333,classic,1996/10/13 0:00
390,2490,classic,1996/10/14 0:00
776,5263,classic,1996/10/19 0:00
197,1202,junior,1996/10/21 0:00
516,3279,classic,1996/10/25 0:00
381,2440,classic,1996/10/27 0:00
1010,9413,classic,1996/10/27 0:00
813,5873,junior,1996/10/28 0:00
272,1754,junior,1996/10/28 0:00
772,5243,classic,1996/10/30 0:00
528,3356,classic,1996/10/31 0:00
1014,9452,classic,1996/11/2 0:00
87,493,classic,1996/11/2 0:00
88,496,classic,1996/11/4 0:00
441,2785,classic,1996/11/5 0:00
562,3583,classic,1996/11/7 0:00
690,4479,classic,1996/11/7 0:00
374,2423,classic,1996/11/8 0:00
57,347,classic,1996/11/9 0:00
722,4684,classic,1996/11/14 0:00
300,1890,classic,1996/11/20 0:00
117,649,junior,1996/11/23 0:00
541,3427,junior,1996/11/26 0:00
294,1861,classic,1996/12/4 0:00
10,77,classic,1996/12/7 0:00
710,4588,junior,1996/12/10 0:00
408,2560,classic,1996/12/10 0:00
363,2324,junior,1996/12/11 0:00
697,4518,classic,1996/12/11 0:00
433,2724,classic,1996/12/12 0:00
642,4137,classic,1996/12/13 0:00
243,1478,classic,1996/12/13 0:00
162,967,junior,1996/12/23 0:00
594,3794,junior,1996/12/27 0:00
609,3893,classic,1996/12/29 0:00
1111,11288,classic,1996/12/31 0:00
786,5478,classic,1996/12/31 0:00
1118,11393,classic,1997/1/2 0:00
175,1040,classic,1997/1/3 0:00
565,3601,gold,1997/1/6 0:00
714,4638,classic,1997/1/9 0:00
137,786,junior,1997/1/10 0:00
22,138,classic,1997/1/11 0:00
325,2102,classic,1997/1/12 0:00
194,1182,classic,1997/1/13 0:00
668,4340,classic,1997/1/14 0:00
706,4559,gold,1997/1/16 0:00
850,6644,classic,1997/1/16 0:00
298,1885,classic,1997/1/17 0:00
105,590,classic,1997/1/17 0:00
1036,9735,classic,1997/1/17 0:00
292,1842,gold,1997/1/18 0:00
112,626,junior,1997/1/19 0:00
678,4405,gold,1997/1/20 0:00
1093,11011,classic,1997/1/20 0:00
681,4426,classic,1997/1/22 0:00
582,3733,classic,1997/1/22 0:00
729,4740,junior,1997/1/22 0:00
54,334,classic,1997/1/24 0:00
258,1607,classic,1997/1/26 0:00
534,3387,classic,1997/1/29 0:00
667,4333,classic,1997/1/31 0:00
195,1194,classic,1997/2/3 0:00
199,1213,classic,1997/2/7 0:00
490,3136,gold,1997/2/7 0:00
347,2184,classic,1997/2/11 0:00
210,1253,classic,1997/2/16 0:00
293,1850,classic,1997/2/17 0:00
189,1157,classic,1997/2/19 0:00
324,2074,classic,1997/2/19 0:00
578,3689,junior,1997/2/21 0:00
266,1690,classic,1997/3/4 0:00
568,3615,classic,1997/3/5 0:00
171,1027,classic,1997/3/5 0:00
679,4416,classic,1997/3/6 0:00
841,6468,classic,1997/3/6 0:00
513,3260,classic,1997/3/15 0:00
647,4171,junior,1997/3/21 0:00
665,4318,classic,1997/3/24 0:00
400,2529,classic,1997/4/6 0:00
617,3944,gold,1997/4/9 0:00
709,4587,junior,1997/4/11 0:00
387,2481,classic,1997/4/18 0:00
226,1378,classic,1997/4/18 0:00
350,2226,classic,1997/4/20 0:00
539,3415,classic,1997/4/23 0:00
583,3735,classic,1997/4/24 0:00
576,3671,classic,1997/4/30 0:00
232,1396,classic,1997/5/1 0:00
730,4749,classic,1997/5/2 0:00
616,3943,classic,1997/5/5 0:00
564,3590,classic,1997/5/6 0:00
82,474,classic,1997/5/7 0:00
1173,12442,classic,1997/5/8 0:00
426,2686,classic,1997/5/9 0:00
791,5521,classic,1997/5/12 0:00
572,3636,junior,1997/5/16 0:00
375,2425,junior,1997/5/17 0:00
69,438,classic,1997/5/17 0:00
607,3885,classic,1997/5/17 0:00
155,900,junior,1997/5/17 0:00
275,1762,classic,1997/5/20 0:00
847,6610,classic,1997/5/20 0:00
399,2527,classic,1997/5/22 0:00
305,1914,classic,1997/5/23 0:00
430,2713,classic,1997/5/26 0:00
349,2214,classic,1997/5/26 0:00
256,1583,classic,1997/5/26 0:00
50,309,classic,1997/5/28 0:00
939,8217,junior,1997/5/29 0:00
110,608,classic,1997/5/31 0:00
184,1089,gold,1997/6/3 0:00
90,503,classic,1997/6/4 0:00
597,3813,junior,1997/6/6 0:00
471,3037,classic,1997/6/9 0:00
494,3173,classic,1997/6/10 0:00
211,1271,classic,1997/6/10 0:00
353,2259,classic,1997/6/11 0:00
213,1289,gold,1997/6/11 0:00
1009,9409,gold,1997/6/14 0:00
297,1883,classic,1997/6/15 0:00
801,5684,classic,1997/6/15 0:00
748,4923,classic,1997/6/16 0:00
133,742,classic,1997/6/16 0:00
316,2013,classic,1997/6/17 0:00
145,819,classic,1997/6/17 0:00
270,1736,junior,1997/6/17 0:00
1178,12542,classic,1997/6/19 0:00
222,1345,classic,1997/6/19 0:00
241,1461,classic,1997/6/20 0:00
280,1793,classic,1997/6/22 0:00
675,4376,classic,1997/6/23 0:00
108,597,classic,1997/6/25 0:00
1196,12805,classic,1997/6/27 0:00
287,1819,junior,1997/6/28 0:00
443,2808,classic,1997/6/29 0:00
1138,11825,classic,1997/6/29 0:00
733,4764,junior,1997/6/30 0:00
311,1954,classic,1997/7/1 0:00
120,662,classic,1997/7/3 0:00
122,667,junior,1997/7/3 0:00
476,3079,classic,1997/7/6 0:00
781,5366,classic,1997/7/7 0:00
588,3765,classic,1997/7/8 0:00
403,2538,junior,1997/7/12 0:00
139,797,classic,1997/7/14 0:00
553,3522,classic,1997/7/14 0:00
625,3987,classic,1997/7/17 0:00
413,2592,junior,1997/7/20 0:00
591,3779,classic,1997/7/23 0:00
694,4504,classic,1997/7/24 0:00
512,3259,classic,1997/7/24 0:00
1095,11023,gold,1997/7/28 0:00
1059,10235,classic,1997/7/29 0:00
75,457,classic,1997/7/29 0:00
383,2469,classic,1997/7/30 0:00
115,638,classic,1997/7/30 0:00
884,7286,gold,1997/7/31 0:00
454,2921,classic,1997/8/1 0:00
688,4472,classic,1997/8/1 0:00
936,8030,classic,1997/8/2 0:00
663,4295,classic,1997/8/6 0:00
637,4094,junior,1997/8/6 0:00
511,3257,junior,1997/8/6 0:00
1220,13160,classic,1997/8/8 0:00
628,4007,classic,1997/8/11 0:00
718,4660,classic,1997/8/12 0:00
238,1452,gold,1997/8/17 0:00
546,3465,golden,1997/8/19 0:00
660,4265,junior,1997/8/19 0:00
491,3151,classic,1997/8/21 0:00
140,798,classic,1997/8/22 0:00
502,3201,classic,1997/8/22 0:00
598,3821,classic,1997/8/23 0:00
355,2267,classic,1997/8/28 0:00
43,267,classic,1997/8/29 0:00
610,3894,classic,1997/8/29 0:00
182,1067,gold,1997/8/31 0:00
41,256,classic,1997/8/31 0:00
91,504,junior,1997/9/1 0:00
252,1529,classic,1997/9/2 0:00
495,3181,classic,1997/9/2 0:00
259,1610,classic,1997/9/5 0:00
187,1140,classic,1997/9/7 0:00
185,1098,classic,1997/9/7 0:00
1025,9625,classic,1997/9/8 0:00
19,130,classic,1997/9/9 0:00
431,2715,gold,1997/9/12 0:00
356,2268,classic,1997/9/13 0:00
767,5204,classic,1997/9/14 0:00
537,3405,classic,1997/9/15 0:00
703,4546,classic,1997/9/17 0:00
671,4345,classic,1997/9/17 0:00
896,7567,classic,1997/9/18 0:00
343,2164,classic,1997/9/21 0:00
279,1791,classic,1997/9/21 0:00
622,3981,junior,1997/9/22 0:00
612,3906,classic,1997/9/22 0:00
206,1243,classic,1997/9/22 0:00
190,1165,classic,1997/9/23 0:00
1203,12893,classic,1997/9/26 0:00
234,1424,classic,1997/9/29 0:00
30,202,classic,1997/10/1 0:00
327,2117,classic,1997/10/3 0:00
49,305,classic,1997/10/3 0:00
1115,11375,junior,1997/10/3 0:00
698,4522,gold,1997/10/7 0:00
874,7127,gold,1997/10/7 0:00
247,1500,junior,1997/10/8 0:00
656,4235,classic,1997/10/8 0:00
436,2759,classic,1997/10/9 0:00
124,688,classic,1997/10/10 0:00
633,4078,classic,1997/10/12 0:00
428,2698,classic,1997/10/13 0:00
638,4100,gold,1997/10/14 0:00
153,886,gold,1997/10/19 0:00
596,3811,classic,1997/10/19 0:00
664,4316,classic,1997/10/22 0:00
251,1525,classic,1997/10/23 0:00
552,3519,classic,1997/10/25 0:00
9,76,classic,1997/10/25 0:00
11,79,gold,1997/10/25 0:00
